,close,date,high,low,open
143,83.03413,2024-01-08,83.16164,82.98787,83.08514
144,83.09814,2024-01-09,83.13914,82.99687,83.01113
145,82.99987,2024-01-10,83.18415,82.93488,83.11014
146,83.03387,2024-01-11,83.09914,82.90188,82.99387
147,82.84711,2024-01-12,83.08586,82.7279,83.05314
148,82.79789,2024-01-15,82.92162,82.7549,82.84711
149,83.07413,2024-01-16,83.11814,82.79189,82.83488
150,83.17115,2024-01-17,83.17615,82.98787,83.05586
151,83.13615,2024-01-18,83.18165,83.06686,83.18115
152,83.07513,2024-01-19,83.16615,82.98987,83.13786
153,83.04586,2024-01-22,83.14815,83.01887,83.04586
154,83.13415,2024-01-23,83.16665,83.03387,83.06413
155,83.07613,2024-01-24,83.16915,83.01487,83.11585
156,83.09914,2024-01-25,83.14414,83.03986,83.11914
157,83.11314,2024-01-26,83.13615,83.04687,83.11485
158,83.14915,2024-01-29,83.16164,83.07486,83.10414
159,83.08086,2024-01-30,83.14715,83.04286,83.12114
160,83.04586,2024-01-31,83.12415,82.95587,83.09914
161,82.91712,2024-02-01,83.08414,82.89088,83.05914
162,82.98813,2024-02-02,83,82.79589,82.93612
163,83.01813,2024-02-05,83.07164,82.90838,82.95487
164,83.03087,2024-02-06,83.07164,82.98287,83.02513
165,82.94388,2024-02-07,83.05514,82.91288,83.03287
166,82.94987,2024-02-08,83.00413,82.86089,82.95087
167,82.98813,2024-02-09,83.04414,82.92287,82.95187
168,82.93913,2024-02-12,83.03214,82.91288,82.98913
169,83.08314,2024-02-13,83.09914,82.91688,82.95787
170,82.99813,2024-02-14,83.11914,82.97187,83.06986
171,82.95787,2024-02-15,83.04163,82.94788,83.01987
172,82.98287,2024-02-16,83.04414,82.94688,82.97713
173,83.01213,2024-02-19,83.02713,82.90388,83.00213
174,82.85288,2024-02-20,83.01713,82.82689,82.99687
175,82.87911,2024-02-21,82.97413,82.81711,82.86012
176,82.82389,2024-02-22,82.94112,82.76389,82.90088
177,82.84811,2024-02-23,82.95912,82.80789,82.80789
178,82.81689,2024-02-26,82.91662,82.79089,82.83411
179,82.84789,2024-02-27,82.90162,82.79289,82.86411
180,82.86811,2024-02-28,82.94912,82.83089,82.88612
181,82.88911,2024-02-29,82.94412,82.83488,82.84988
182,82.83211,2024-03-01,82.90912,82.80489,82.89188
183,82.86811,2024-03-04,82.91912,82.80589,82.83011
184,82.88012,2024-03-05,82.93412,82.80789,82.89812
185,82.7529,2024-03-06,82.91662,82.7449,82.89512
186,82.65691,2024-03-07,82.82811,82.63291,82.7691
187,82.7251,2024-03-08,82.7391,82.63691,82.66909
188,82.6879,2024-03-11,82.79411,82.63091,82.7251
189,82.76089,2024-03-12,82.7981,82.6909,82.7291
190,82.82111,2024-03-13,82.91662,82.7289,82.7539
191,82.88588,2024-03-14,82.91712,82.76889,82.80289
192,82.87212,2024-03-15,82.96113,82.79289,82.95013
193,82.87688,2024-03-18,82.91412,82.80989,82.85388
194,82.97787,2024-03-19,83.04414,82.86511,82.89512
195,83.14685,2024-03-20,83.20415,82.94888,82.99613
196,83.16315,2024-03-21,83.19715,83.00187,83.16215
197,83.52119,2024-03-22,83.70421,83.17085,83.19415
198,83.39117,2024-03-25,83.52119,83.33883,83.50282
199,83.28084,2024-03-26,83.41418,83.21584,83.39517
200,83.26484,2024-03-27,83.43918,83.25984,83.25984
201,83.32283,2024-03-28,83.40917,83.28584,83.32484
202,83.33083,2024-03-29,83.37617,83.29284,83.37617
203,83.38918,2024-04-01,83.38918,83.27984,83.33016
204,83.29284,2024-04-02,83.41917,83.28984,83.33083
205,83.48219,2024-04-03,83.54919,83.28384,83.34083
206,83.33383,2024-04-04,83.49218,83.30583,83.48219
207,83.26384,2024-04-05,83.45418,83.20084,83.35217
208,83.26084,2024-04-08,83.32916,83.19884,83.28683
209,83.13985,2024-04-09,83.26416,83.12685,83.25916
210,83.35983,2024-04-10,83.38717,83.10786,83.19615
211,83.29484,2024-04-11,83.40617,83.25784,83.37817
212,83.51081,2024-04-12,83.5872,83.28284,83.31316
213,83.45482,2024-04-15,83.51019,83.37283,83.46118
214,83.6092,2024-04-16,83.66721,83.44082,83.47781
215,83.6272,2024-04-17,83.72821,83.52081,83.6078
216,83.50182,2024-04-18,83.58019,83.45382,83.55081
217,83.46918,2024-04-19,83.70421,83.31483,83.51481
218,83.32983,2024-04-22,83.45168,83.27084,83.40617
219,83.23985,2024-04-23,83.39417,83.22784,83.34917
220,83.29084,2024-04-24,83.33217,83.23184,83.26816
221,83.28084,2024-04-25,83.39917,83.21284,83.30817
222,83.36883,2024-04-26,83.39317,83.23785,83.23785
223,83.44918,2024-04-29,83.48918,83.31384,83.34517
224,83.44082,2024-04-30,83.52669,83.35183,83.38083
225,83.45082,2024-05-01,83.51919,83.40982,83.43282
226,83.40682,2024-05-02,83.49168,83.36683,83.43618
227,83.34683,2024-05-03,83.44668,83.27984,83.42518
228,83.46918,2024-05-06,83.50169,83.33183,83.33183
229,83.44617,2024-05-07,83.51169,83.39082,83.44118
